v2	-I(V2)
0.000000000000000e+000	4.851912e-032
1.000000000000000e-001	1.025304e-004
2.000000000000000e-001	1.966658e-004
3.000000000000000e-001	2.823674e-004
4.000000000000000e-001	3.595959e-004
5.000000000000000e-001	4.283124e-004
6.000000000000000e-001	4.884779e-004
7.000000000000000e-001	5.400532e-004
7.999999999999999e-001	5.829994e-004
8.999999999999999e-001	6.172775e-004
1.000000000000000e+000	6.428482e-004
1.000000000000000e+000	6.428482e-004
1.500000000000000e+000	6.710627e-004
2.000000000000000e+000	6.759849e-004
2.500000000000000e+000	6.809071e-004
3.000000000000000e+000	6.858294e-004
3.500000000000000e+000	6.907516e-004
4.000000000000000e+000	6.956738e-004
4.500000000000000e+000	7.005960e-004
5.000000000000000e+000	7.055182e-004
