v3	-I(V2)
0.000000000000000e+000	6.013440e-003
1.000000000000000e-001	5.976115e-003
2.000000000000000e-001	5.938790e-003
3.000000000000000e-001	5.901466e-003
4.000000000000000e-001	5.864141e-003
5.000000000000000e-001	5.826816e-003
6.000000000000000e-001	5.789491e-003
7.000000000000000e-001	5.752166e-003
7.999999999999999e-001	5.714842e-003
8.999999999999999e-001	5.677517e-003
1.000000000000000e+000	5.640192e-003
1.000000000000000e+000	5.640192e-003
1.500000000000000e+000	5.449360e-003
2.000000000000000e+000	5.120640e-003
2.500000000000000e+000	4.606000e-003
3.000000000000000e+000	3.927040e-003
3.500000000000000e+000	3.105360e-003
4.000000000000000e+000	2.162560e-003
4.500000000000000e+000	1.120240e-003
5.000000000000000e+000	8.760419e-012
