v3	-I(V3)
0.000000000000000e+000	-0.000000e+000
1.000000000000000e-002	2.032065e-014
2.000000000000000e-002	4.053849e-014
3.000000000000000e-002	6.068648e-014
4.000000000000000e-002	8.078701e-014
5.000000000000000e-002	1.008553e-013
6.000000000000001e-002	1.209017e-013
7.000000000000001e-002	1.409332e-013
8.000000000000000e-002	1.609546e-013
9.000000000000000e-002	1.809692e-013
9.999999999999999e-002	2.009791e-013
1.100000000000000e-001	2.209858e-013
1.200000000000000e-001	2.409903e-013
1.300000000000000e-001	2.609934e-013
1.400000000000000e-001	2.809956e-013
1.500000000000000e-001	3.009970e-013
1.600000000000000e-001	3.209979e-013
1.700000000000000e-001	3.409986e-013
1.800000000000000e-001	3.609990e-013
1.900000000000000e-001	3.809993e-013
2.000000000000000e-001	4.009996e-013
2.100000000000001e-001	4.209997e-013
2.200000000000001e-001	4.409998e-013
2.300000000000001e-001	4.609998e-013
2.400000000000001e-001	4.809999e-013
2.500000000000001e-001	5.010000e-013
2.600000000000001e-001	5.210000e-013
2.700000000000001e-001	5.410000e-013
2.800000000000001e-001	5.610000e-013
2.900000000000001e-001	5.810000e-013
3.000000000000001e-001	6.010000e-013
3.100000000000001e-001	6.210000e-013
3.200000000000001e-001	6.410000e-013
3.300000000000001e-001	6.610000e-013
3.400000000000001e-001	6.810000e-013
3.500000000000001e-001	7.010000e-013
3.600000000000002e-001	7.210000e-013
3.700000000000002e-001	7.410000e-013
3.800000000000002e-001	7.610000e-013
3.900000000000002e-001	7.810000e-013
4.000000000000002e-001	8.010000e-013
4.100000000000002e-001	8.210000e-013
4.200000000000002e-001	8.410000e-013
4.300000000000002e-001	8.610000e-013
4.400000000000002e-001	8.810000e-013
4.500000000000002e-001	9.010000e-013
4.600000000000002e-001	9.210000e-013
4.700000000000003e-001	9.410000e-013
4.800000000000003e-001	9.610001e-013
4.900000000000003e-001	9.810000e-013
5.000000000000002e-001	1.001000e-012
5.100000000000002e-001	1.021000e-012
5.200000000000002e-001	1.041000e-012
5.300000000000003e-001	1.061000e-012
5.400000000000003e-001	1.081000e-012
5.500000000000003e-001	1.101000e-012
5.600000000000003e-001	1.121000e-012
5.700000000000003e-001	1.141000e-012
5.800000000000003e-001	1.161000e-012
5.900000000000003e-001	1.181000e-012
6.000000000000003e-001	1.201000e-012
6.100000000000003e-001	1.221000e-012
6.200000000000003e-001	1.241000e-012
6.300000000000003e-001	1.261000e-012
6.400000000000004e-001	1.281000e-012
6.500000000000004e-001	1.301000e-012
6.600000000000004e-001	1.321000e-012
6.700000000000004e-001	1.341000e-012
6.800000000000004e-001	1.361000e-012
6.900000000000004e-001	1.381000e-012
7.000000000000004e-001	1.401000e-012
7.100000000000004e-001	1.421000e-012
7.200000000000004e-001	1.441000e-012
7.300000000000004e-001	1.461000e-012
7.400000000000004e-001	1.481000e-012
7.500000000000004e-001	1.501000e-012
7.600000000000005e-001	1.521000e-012
7.700000000000005e-001	1.541000e-012
7.800000000000005e-001	1.561000e-012
7.900000000000005e-001	1.581000e-012
8.000000000000005e-001	1.601000e-012
8.100000000000005e-001	1.621000e-012
8.200000000000005e-001	1.641000e-012
8.300000000000005e-001	1.661000e-012
8.400000000000005e-001	1.681000e-012
8.500000000000005e-001	1.701000e-012
8.600000000000005e-001	1.721000e-012
8.700000000000006e-001	1.741000e-012
8.800000000000006e-001	1.761000e-012
8.900000000000006e-001	1.781000e-012
9.000000000000006e-001	1.801000e-012
9.100000000000006e-001	1.821000e-012
9.200000000000006e-001	1.841000e-012
9.300000000000006e-001	1.861000e-012
9.400000000000006e-001	1.881000e-012
9.500000000000006e-001	1.901000e-012
9.600000000000006e-001	1.921000e-012
9.700000000000006e-001	1.941000e-012
9.800000000000007e-001	1.961000e-012
9.900000000000007e-001	1.981000e-012
1.000000000000001e+000	2.001000e-012
1.010000000000001e+000	2.021000e-012
1.020000000000001e+000	2.041000e-012
1.030000000000001e+000	2.061000e-012
1.040000000000001e+000	2.081000e-012
1.050000000000001e+000	2.101000e-012
1.060000000000001e+000	2.121000e-012
1.070000000000001e+000	2.141000e-012
