v2	V(n001)
0.000000000000000e+000	1.249500e+000
1.000000000000000e-001	1.249500e+000
2.000000000000000e-001	1.249500e+000
3.000000000000000e-001	1.249500e+000
4.000000000000000e-001	1.249500e+000
5.000000000000000e-001	1.249500e+000
6.000000000000000e-001	1.249500e+000
7.000000000000000e-001	1.249500e+000
7.999999999999999e-001	1.249500e+000
8.999999999999999e-001	1.249500e+000
9.999999999999999e-001	1.249500e+000
1.100000000000000e+000	1.249500e+000
1.200000000000000e+000	1.249500e+000
1.300000000000000e+000	1.249500e+000
1.400000000000000e+000	1.249500e+000
1.500000000000000e+000	1.249500e+000
1.600000000000000e+000	1.249500e+000
1.700000000000000e+000	1.249500e+000
1.800000000000001e+000	1.093008e+000
1.900000000000001e+000	1.053989e+000
2.000000000000000e+000	1.016901e+000
2.100000000000001e+000	9.792980e-001
2.200000000000001e+000	9.419811e-001
2.300000000000001e+000	9.049714e-001
2.400000000000001e+000	8.682716e-001
2.500000000000001e+000	8.318842e-001
2.600000000000001e+000	7.960604e-001
2.700000000000001e+000	7.652493e-001
2.800000000000001e+000	7.393704e-001
2.900000000000001e+000	7.169218e-001
3.000000000000001e+000	6.970111e-001
3.100000000000001e+000	6.790884e-001
3.200000000000002e+000	6.627719e-001
3.300000000000002e+000	6.477845e-001
3.400000000000002e+000	6.339182e-001
3.500000000000002e+000	6.210123e-001
3.600000000000002e+000	6.089398e-001
3.700000000000002e+000	5.975981e-001
3.800000000000002e+000	5.869036e-001
3.900000000000002e+000	5.767864e-001
4.000000000000002e+000	5.671880e-001
4.100000000000001e+000	5.580586e-001
4.200000000000001e+000	5.493553e-001
4.300000000000001e+000	5.410413e-001
4.400000000000000e+000	5.330843e-001
4.500000000000000e+000	5.254560e-001
4.600000000000000e+000	5.181314e-001
4.699999999999999e+000	5.110884e-001
4.799999999999999e+000	5.043073e-001
4.899999999999999e+000	4.977703e-001
5.000000000000000e+000	4.914615e-001
