v2	V(n001)
0.000000000000000e+000	3.339811e+000
1.000000000000000e-001	3.341331e+000
2.000000000000000e-001	3.341625e+000
3.000000000000000e-001	3.342384e+000
4.000000000000000e-001	3.337588e+000
5.000000000000000e-001	3.337821e+000
6.000000000000000e-001	3.340453e+000
7.000000000000000e-001	3.337588e+000
7.999999999999999e-001	3.338787e+000
8.999999999999999e-001	3.341419e+000
9.999999999999999e-001	3.337585e+000
1.100000000000000e+000	3.338301e+000
1.200000000000000e+000	3.340934e+000
1.300000000000000e+000	3.337587e+000
1.400000000000000e+000	3.338545e+000
1.500000000000000e+000	3.341177e+000
1.600000000000000e+000	3.337586e+000
1.700000000000000e+000	3.338423e+000
1.800000000000001e+000	3.327260e+000
1.900000000000001e+000	3.277974e+000
2.000000000000000e+000	3.228543e+000
2.100000000000001e+000	3.179224e+000
2.200000000000001e+000	3.130136e+000
2.300000000000001e+000	3.081279e+000
2.400000000000001e+000	3.032655e+000
2.500000000000001e+000	2.984262e+000
2.600000000000001e+000	2.936103e+000
2.700000000000001e+000	2.888175e+000
2.800000000000001e+000	2.840482e+000
2.900000000000001e+000	2.793022e+000
3.000000000000001e+000	2.745796e+000
3.100000000000001e+000	2.698804e+000
3.200000000000002e+000	2.652048e+000
3.300000000000002e+000	2.605527e+000
3.400000000000002e+000	2.559242e+000
3.500000000000002e+000	2.513194e+000
3.600000000000002e+000	2.467383e+000
3.700000000000002e+000	2.421809e+000
3.800000000000002e+000	2.376474e+000
3.900000000000002e+000	2.331378e+000
4.000000000000002e+000	2.286522e+000
4.100000000000001e+000	2.242635e+000
4.200000000000001e+000	2.202258e+000
4.300000000000001e+000	2.165046e+000
4.400000000000000e+000	2.130485e+000
4.500000000000000e+000	2.098185e+000
4.600000000000000e+000	2.067844e+000
4.699999999999999e+000	2.039220e+000
4.799999999999999e+000	2.012115e+000
4.899999999999999e+000	1.986366e+000
5.000000000000000e+000	1.961835e+000
