time	V(vin)	V(n001)
0.000000000000000e+000	0.000000e+000	4.999999e+000
9.999999960041972e-012	5.000000e-002	5.000087e+000
1.999999992008394e-011	1.000000e-001	5.000175e+000
3.999999984016789e-011	2.000000e-001	5.000350e+000
7.999999968033578e-011	4.000000e-001	5.000701e+000
1.207857910562097e-010	6.039290e-001	5.001059e+000
1.585584586863297e-010	7.927923e-001	5.001391e+000
2.102008211850245e-010	1.051004e+000	5.001844e+000
2.696104521692914e-010	1.348052e+000	5.002366e+000
3.884297141378251e-010	1.942149e+000	5.003407e+000
6.260682380748926e-010	3.130341e+000	5.005482e+000
7.048291930144475e-010	3.524146e+000	5.006164e+000
8.424780901208903e-010	4.212390e+000	5.007339e+000
1.000000000000000e-009	5.000000e+000	5.008668e+000
1.012393560335357e-009	5.000000e+000	5.008662e+000
1.037180681006070e-009	5.000000e+000	5.008650e+000
1.170621515233751e-007	5.000000e+000	4.952367e+000
2.330871223657440e-007	5.000000e+000	4.896148e+000
3.491120932081130e-007	5.000000e+000	4.839995e+000
4.651370640504820e-007	5.000000e+000	4.783907e+000
5.811620348928509e-007	5.000000e+000	4.727885e+000
6.971870057352200e-007	5.000000e+000	4.671928e+000
8.132119765775886e-007	5.000000e+000	4.616036e+000
1.625436346715513e-006	5.000000e+000	4.226189e+000
2.675410091732035e-006	5.000000e+000	3.726682e+000
4.279428505375848e-006	5.000000e+000	2.981638e+000
5.941642156597801e-006	5.000000e+000	2.260908e+000
7.604423686410867e-006	5.000000e+000	1.642685e+000
9.549660839577548e-006	5.000000e+000	1.092146e+000
1.211664188194995e-005	5.000000e+000	5.832480e-001
1.357659434268474e-005	5.000000e+000	3.912778e-001
1.487626258538889e-005	5.000000e+000	2.814937e-001
1.636199026079493e-005	5.000000e+000	1.952896e-001
1.799507776198671e-005	5.000000e+000	1.310837e-001
1.952017837216114e-005	5.000000e+000	9.158999e-002
2.103603207113135e-005	5.000000e+000	6.604937e-002
2.253227028989802e-005	5.000000e+000	4.955015e-002
2.410698394463878e-005	5.000000e+000	3.827184e-002
2.573375989996465e-005	5.000000e+000	3.080892e-002
2.748767751059096e-005	5.000000e+000	2.579339e-002
2.937093086498741e-005	5.000000e+000	2.254700e-002
3.148867558191504e-005	5.000000e+000	2.045484e-002
3.389210376956250e-005	5.000000e+000	1.918193e-002
3.675474792198226e-005	5.000000e+000	1.844533e-002
