time	V(vin)	V(n001)
0.000000000000000e+000	0.000000e+000	5.000000e+000
9.999999960041972e-012	5.000000e-002	5.000149e+000
1.999999992008394e-011	1.000000e-001	5.000298e+000
3.999999984016789e-011	2.000000e-001	5.000596e+000
3.199999987213431e-010	1.600000e+000	5.004761e+000
6.399999974426862e-010	3.200000e+000	5.009474e+000
1.000000000000000e-009	5.000000e+000	5.014725e+000
1.000791886387829e-009	5.000000e+000	5.014725e+000
1.002375659163486e-009	5.000000e+000	5.014724e+000
5.289627442635733e-008	5.000000e+000	4.989751e+000
1.047933407391025e-007	5.000000e+000	4.964781e+000
1.598933464420826e-007	5.000000e+000	4.938271e+000
2.700933578480428e-007	5.000000e+000	4.885244e+000
4.437030772740190e-007	5.000000e+000	4.801703e+000
5.751150455926489e-007	5.000000e+000	4.738502e+000
7.404732609346708e-007	5.000000e+000	4.659067e+000
1.071189691618715e-006	5.000000e+000	4.500519e+000
1.732622552986802e-006	5.000000e+000	4.184693e+000
3.055488275722977e-006	5.000000e+000	3.558415e+000
4.628742256087910e-006	5.000000e+000	2.834258e+000
6.283356230918126e-006	5.000000e+000	2.132233e+000
8.013961372211625e-006	5.000000e+000	1.513927e+000
1.000759414439395e-005	5.000000e+000	9.873133e-001
1.285343730649134e-005	5.000000e+000	4.788427e-001
1.433768350171883e-005	5.000000e+000	3.086453e-001
1.558074109019488e-005	5.000000e+000	2.203443e-001
1.702704971965959e-005	5.000000e+000	1.495953e-001
1.856656309233059e-005	5.000000e+000	9.788472e-002
2.003916272059925e-005	5.000000e+000	6.475372e-002
2.145915403643619e-005	5.000000e+000	4.345396e-002
2.285171689124819e-005	5.000000e+000	2.940337e-002
2.424767511833923e-005	5.000000e+000	1.987714e-002
2.563363087589154e-005	5.000000e+000	1.346755e-002
2.702214266761250e-005	5.000000e+000	9.116822e-003
2.840267412006800e-005	5.000000e+000	6.183777e-003
2.978551417712436e-005	5.000000e+000	4.191722e-003
3.116372394187721e-005	5.000000e+000	2.844701e-003
3.254423158179425e-005	5.000000e+000	1.929354e-003
3.392172069836960e-005	5.000000e+000	1.309533e-003
3.530097241249949e-005	5.000000e+000	8.884202e-004
3.667818920844006e-005	5.000000e+000	6.030389e-004
3.805675645078024e-005	5.000000e+000	4.091846e-004
3.943394348931697e-005	5.000000e+000	2.787914e-004
4.098437899968277e-005	5.000000e+000	1.818499e-004
4.269848091174862e-005	5.000000e+000	1.139077e-004
4.484210485899756e-005	5.000000e+000	6.385653e-005
4.737672776479563e-005	5.000000e+000	3.233018e-005
5.074960876733600e-005	5.000000e+000	1.334804e-005
5.524741740018386e-005	5.000000e+000	4.173984e-006
6.213716404760833e-005	5.000000e+000	7.043222e-007
8.213716404760833e-005	5.000000e+000	1.832993e-009
1.164228783333227e-004	5.000000e+000	2.612344e-009
1.507085926190370e-004	5.000000e+000	3.214569e-009
1.849943069047513e-004	5.000000e+000	3.639667e-009
