time	V(out)	V(vin)
0.000000000000000e+000	5.000000e+000	0.000000e+000
9.999999960041972e-012	5.000062e+000	5.000000e-002
1.999999992008394e-011	5.000123e+000	1.000000e-001
9.344877336220666e-011	5.000574e+000	4.672439e-001
1.668975468043294e-010	5.001026e+000	8.344878e-001
2.403463202464521e-010	5.001477e+000	1.201732e+000
3.137950936885748e-010	5.001928e+000	1.568975e+000
3.872438671306975e-010	5.002380e+000	1.936219e+000
4.606926405728202e-010	5.002831e+000	2.303463e+000
5.341414140149427e-010	5.003283e+000	2.670707e+000
1.000000000000000e-009	5.006145e+000	5.000000e+000
1.000506859713870e-009	5.006145e+000	5.000000e+000
1.001520579141609e-009	5.006145e+000	5.000000e+000
2.187572309596638e-009	5.006145e+000	5.000000e+000
3.373624040051667e-009	5.006145e+000	5.000000e+000
4.559675770506697e-009	5.006145e+000	5.000000e+000
5.745727500961726e-009	5.006145e+000	5.000000e+000
6.931779231416754e-009	5.006145e+000	5.000000e+000
8.117830961871784e-009	5.006145e+000	5.000000e+000
9.303882692326810e-009	5.006145e+000	5.000000e+000
1.760827224436749e-008	5.006145e+000	5.000000e+000
2.996633686994963e-008	5.006085e+000	5.000000e+000
4.736821690830252e-008	5.005601e+000	5.000000e+000
6.718050666269602e-008	5.004273e+000	5.000000e+000
7.930037860249755e-008	5.003021e+000	5.000000e+000
8.988187574472163e-008	5.001740e+000	5.000000e+000
1.032345922677712e-007	5.000078e+000	5.000000e+000
1.276891108668538e-007	4.997010e+000	5.000000e+000
1.650924470082733e-007	4.992309e+000	5.000000e+000
2.365753515099116e-007	4.983320e+000	5.000000e+000
3.795411605131882e-007	4.965338e+000	5.000000e+000
6.654727785197414e-007	4.929343e+000	5.000000e+000
1.237336014532848e-006	4.857254e+000	5.000000e+000
1.801022717472832e-006	4.786116e+000	5.000000e+000
3.090881955496428e-006	4.623278e+000	5.000000e+000
5.090881955496427e-006	4.370879e+000	5.000000e+000
7.090881955496427e-006	4.118639e+000	5.000000e+000
1.009088195549643e-005	3.740664e+000	5.000000e+000
1.309088195549643e-005	3.363219e+000	5.000000e+000
1.423373909835357e-005	3.219578e+000	5.000000e+000
1.537659624121072e-005	3.076027e+000	5.000000e+000
1.651945338406786e-005	2.932568e+000	5.000000e+000
1.766231052692500e-005	2.789200e+000	5.000000e+000
1.880516766978215e-005	2.645923e+000	5.000000e+000
1.994802481263929e-005	2.502737e+000	5.000000e+000
2.109088195549643e-005	2.359642e+000	5.000000e+000
2.209088195549644e-005	2.234523e+000	5.000000e+000
2.309088195549644e-005	2.109567e+000	5.000000e+000
2.409088195549644e-005	1.985035e+000	5.000000e+000
2.609088195549644e-005	1.739177e+000	5.000000e+000
2.709088195549644e-005	1.618992e+000	5.000000e+000
2.809088195549644e-005	1.501428e+000	5.000000e+000
2.909088195549644e-005	1.387075e+000	5.000000e+000
3.009088195549644e-005	1.276500e+000	5.000000e+000
3.109088195549644e-005	1.170230e+000	5.000000e+000
3.209088195549643e-005	1.068734e+000	5.000000e+000
3.309088195549643e-005	9.724078e-001	5.000000e+000
3.409088195549643e-005	8.815643e-001	5.000000e+000
3.509088195549643e-005	7.964242e-001	5.000000e+000
3.609088195549642e-005	7.171138e-001	5.000000e+000
3.709088195549642e-005	6.436676e-001	5.000000e+000
3.809088195549642e-005	5.760334e-001	5.000000e+000
3.909088195549641e-005	5.140822e-001	5.000000e+000
4.009088195549641e-005	4.576197e-001	5.000000e+000
4.109088195549641e-005	4.063988e-001	5.000000e+000
4.209088195549641e-005	3.601326e-001	5.000000e+000
4.309088195549640e-005	3.185069e-001	5.000000e+000
4.409088195549640e-005	2.811912e-001	5.000000e+000
4.509088195549640e-005	2.478489e-001	5.000000e+000
4.609088195549640e-005	2.181450e-001	5.000000e+000
4.709088195549639e-005	1.917531e-001	5.000000e+000
4.809088195549639e-005	1.683600e-001	5.000000e+000
4.909088195549639e-005	1.476691e-001	5.000000e+000
5.009088195549638e-005	1.294032e-001	5.000000e+000
5.109088195549638e-005	1.133053e-001	5.000000e+000
5.209088195549638e-005	9.913934e-002	5.000000e+000
5.309088195549638e-005	8.668996e-002	5.000000e+000
5.409088195549637e-005	7.576197e-002	5.000000e+000
5.509088195549637e-005	6.617931e-002	5.000000e+000
5.609088195549637e-005	5.778401e-002	5.000000e+000
5.709088195549636e-005	5.043478e-002	5.000000e+000
5.809088195549636e-005	4.400580e-002	5.000000e+000
5.909088195549636e-005	3.838527e-002	5.000000e+000
6.009088195549636e-005	3.347418e-002	5.000000e+000
6.109088195549636e-005	2.918499e-002	5.000000e+000
6.209088195549636e-005	2.544049e-002	5.000000e+000
6.309088195549635e-005	2.217269e-002	5.000000e+000
6.409088195549635e-005	1.932180e-002	5.000000e+000
6.509088195549635e-005	1.683531e-002	5.000000e+000
6.609088195549635e-005	1.466716e-002	5.000000e+000
6.709088195549634e-005	1.277699e-002	5.000000e+000
6.809088195549634e-005	1.112946e-002	5.000000e+000
6.909088195549634e-005	9.693651e-003	5.000000e+000
7.009088195549633e-005	8.442530e-003	5.000000e+000
7.109088195549633e-005	7.352474e-003	5.000000e+000
7.209088195549633e-005	6.402845e-003	5.000000e+000
7.309088195549633e-005	5.575629e-003	5.000000e+000
7.409088195549632e-005	4.855106e-003	5.000000e+000
7.509088195549632e-005	4.227556e-003	5.000000e+000
7.609088195549632e-005	3.681016e-003	5.000000e+000
7.709088195549632e-005	3.205055e-003	5.000000e+000
7.809088195549631e-005	2.790577e-003	5.000000e+000
7.909088195549631e-005	2.429653e-003	5.000000e+000
8.009088195549631e-005	2.115377e-003	5.000000e+000
8.109088195549630e-005	1.841726e-003	5.000000e+000
8.209088195549630e-005	1.603455e-003	5.000000e+000
8.309088195549630e-005	1.395996e-003	5.000000e+000
8.409088195549630e-005	1.215368e-003	5.000000e+000
8.509088195549629e-005	1.058102e-003	5.000000e+000
8.609088195549629e-005	9.211801e-004	5.000000e+000
8.709088195549629e-005	8.019716e-004	5.000000e+000
8.809088195549628e-005	6.981862e-004	5.000000e+000
8.909088195549628e-005	6.078293e-004	5.000000e+000
9.009088195549628e-005	5.291642e-004	5.000000e+000
9.109088195549628e-005	4.606784e-004	5.000000e+000
9.209088195549627e-005	4.010553e-004	5.000000e+000
9.309088195549627e-005	3.491482e-004	5.000000e+000
9.409088195549627e-005	3.039588e-004	5.000000e+000
9.509088195549626e-005	2.646178e-004	5.000000e+000
9.609088195549626e-005	2.303685e-004	5.000000e+000
9.709088195549626e-005	2.005520e-004	5.000000e+000
9.809088195549626e-005	1.745946e-004	5.000000e+000
9.836361310471108e-005	1.678885e-004	5.000000e+000
9.863634425392590e-005	1.614554e-004	5.000000e+000
9.890907540314072e-005	1.552954e-004	5.000000e+000
9.918180655235554e-005	1.494084e-004	5.000000e+000
9.945453770157036e-005	1.437946e-004	5.000000e+000
9.972726885078518e-005	1.384539e-004	5.000000e+000
1.000000000000000e-004	1.333863e-004	5.000000e+000
1.000010000000000e-004	1.333678e-004	5.000000e+000
1.000010022000245e-004	1.297113e-004	4.989000e+000
1.000010066000735e-004	1.223894e-004	4.967000e+000
1.000010455719359e-004	5.784362e-005	4.772140e+000
1.000010845437984e-004	-5.820676e-006	4.577281e+000
1.000011235156608e-004	-6.860353e-005	4.382421e+000
1.000011624875233e-004	-1.305050e-004	4.187562e+000
1.000012014593857e-004	-1.915249e-004	3.992703e+000
1.000012404312481e-004	-2.516635e-004	3.797844e+000
1.000012794031106e-004	-3.109206e-004	3.602984e+000
1.000014441874014e-004	-5.436976e-004	2.779063e+000
1.000015077329032e-004	-6.062559e-004	2.461335e+000
1.000015934767700e-004	-6.488164e-004	2.032616e+000
1.000016528710706e-004	-6.659828e-004	1.735645e+000
1.000017211563875e-004	-6.795353e-004	1.394218e+000
1.000018289824932e-004	-6.941201e-004	8.550875e-001
1.000018527955342e-004	-6.956888e-004	7.360224e-001
1.000019004216161e-004	-6.962966e-004	4.978919e-001
1.000019047478362e-004	-6.962318e-004	4.762608e-001
1.000019307051572e-004	-6.947856e-004	3.464742e-001
1.000019653149186e-004	-6.914476e-004	1.734254e-001
1.000020000000000e-004	-6.870757e-004	0.000000e+000
1.000020034685082e-004	-6.829317e-004	0.000000e+000
1.000020104055244e-004	-6.757498e-004	0.000000e+000
1.000020242795570e-004	-6.646375e-004	0.000000e+000
1.000020520276222e-004	-6.477734e-004	0.000000e+000
1.000020805222690e-004	-6.340914e-004	0.000000e+000
1.000021325958184e-004	-6.132878e-004	0.000000e+000
1.000021994155483e-004	-5.895464e-004	0.000000e+000
1.000023226861977e-004	-5.492059e-004	0.000000e+000
1.000024774674140e-004	-5.007377e-004	0.000000e+000
1.000027449232849e-004	-4.185047e-004	0.000000e+000
1.000030924108085e-004	-3.110122e-004	0.000000e+000
1.000036777722758e-004	-1.256379e-004	0.000000e+000
1.000044514243930e-004	1.294893e-004	0.000000e+000
1.000057161693926e-004	5.700435e-004	0.000000e+000
1.000074360153621e-004	1.211443e-003	0.000000e+000
1.000101521893162e-004	2.304177e-003	0.000000e+000
1.000134711972961e-004	3.742902e-003	0.000000e+000
1.000174296040751e-004	5.575702e-003	0.000000e+000
1.000212220731678e-004	7.424045e-003	0.000000e+000
1.000246642966174e-004	9.168757e-003	0.000000e+000
1.000284809918624e-004	1.116119e-002	0.000000e+000
1.000326454888045e-004	1.338997e-002	0.000000e+000
1.000388368221657e-004	1.677823e-002	0.000000e+000
1.000461743873566e-004	2.087377e-002	0.000000e+000
1.000558707076383e-004	2.637572e-002	0.000000e+000
1.000654163160691e-004	3.185870e-002	0.000000e+000
1.000760397476236e-004	3.801338e-002	0.000000e+000
1.000865370838634e-004	4.412760e-002	0.000000e+000
1.000981355640396e-004	5.090626e-002	0.000000e+000
1.001087341146368e-004	5.711416e-002	0.000000e+000
1.001196951956818e-004	6.354392e-002	0.000000e+000
1.001331984868967e-004	7.147207e-002	0.000000e+000
1.001503609594481e-004	8.155347e-002	0.000000e+000
1.001734875286051e-004	9.513916e-002	0.000000e+000
1.002058375999138e-004	1.141360e-001	0.000000e+000
1.002540662152660e-004	1.424282e-001	0.000000e+000
1.003483513174874e-004	1.976409e-001	0.000000e+000
1.004421377263504e-004	2.524127e-001	0.000000e+000
1.007357607206514e-004	4.223444e-001	0.000000e+000
1.011272580463860e-004	6.454076e-001	0.000000e+000
1.019102526978552e-004	1.083114e+000	0.000000e+000
1.026772955390525e-004	1.501033e+000	0.000000e+000
1.034033091505848e-004	1.882803e+000	0.000000e+000
1.040106550759245e-004	2.186470e+000	0.000000e+000
1.047190142282507e-004	2.515011e+000	0.000000e+000
1.057190142282507e-004	2.934038e+000	0.000000e+000
1.067190142282507e-004	3.301028e+000	0.000000e+000
1.077190142282507e-004	3.613133e+000	0.000000e+000
1.087190142282507e-004	3.874359e+000	0.000000e+000
1.097190142282507e-004	4.090371e+000	0.000000e+000
1.107190142282507e-004	4.267378e+000	0.000000e+000
1.117190142282507e-004	4.411437e+000	0.000000e+000
1.127190142282507e-004	4.528083e+000	0.000000e+000
1.137190142282506e-004	4.622171e+000	0.000000e+000
1.147190142282506e-004	4.697844e+000	0.000000e+000
1.157190142282506e-004	4.758571e+000	0.000000e+000
1.167190142282506e-004	4.807223e+000	0.000000e+000
1.177190142282506e-004	4.846149e+000	0.000000e+000
1.187190142282506e-004	4.877258e+000	0.000000e+000
