time	V(out)	V(vin)
0.000000000000000e+000	5.000000e+000	0.000000e+000
9.999999960041972e-012	5.000209e+000	5.000000e-002
1.999999992008394e-011	5.000418e+000	1.000000e-001
1.599999999315006e-010	5.003347e+000	8.000000e-001
2.999999999429172e-010	5.006276e+000	1.500000e+000
4.399999999543338e-010	5.009205e+000	2.200000e+000
5.799999999657505e-010	5.012134e+000	2.900000e+000
7.199999999771671e-010	5.015063e+000	3.600000e+000
8.599999999885837e-010	5.017993e+000	4.300000e+000
1.000000000000000e-009	5.020922e+000	5.000000e+000
1.000324266691021e-009	5.020922e+000	5.000000e+000
1.000972800073062e-009	5.020922e+000	5.000000e+000
2.518726209301632e-009	5.020922e+000	5.000000e+000
4.036479618530203e-009	5.020922e+000	5.000000e+000
5.554233027758773e-009	5.020922e+000	5.000000e+000
7.071986436987343e-009	5.020922e+000	5.000000e+000
8.589739846215914e-009	5.020922e+000	5.000000e+000
1.010749325544448e-008	5.020922e+000	5.000000e+000
1.162524666467305e-008	5.020922e+000	5.000000e+000
2.225081759603712e-008	5.020922e+000	5.000000e+000
3.218599098801482e-008	5.020922e+000	5.000000e+000
4.414190564878075e-008	5.020900e+000	5.000000e+000
5.834401657766569e-008	5.020645e+000	5.000000e+000
7.647904140796917e-008	5.019630e+000	5.000000e+000
9.466222198630325e-008	5.017879e+000	5.000000e+000
1.061177560430329e-007	5.016521e+000	5.000000e+000
1.200470633154797e-007	5.014784e+000	5.000000e+000
1.380967274740941e-007	5.012519e+000	5.000000e+000
1.741960557913229e-007	5.007981e+000	5.000000e+000
2.463947124257804e-007	4.998903e+000	5.000000e+000
3.907920256946955e-007	4.980744e+000	5.000000e+000
6.795866522325255e-007	4.944414e+000	5.000000e+000
9.656720792927409e-007	4.908382e+000	5.000000e+000
1.537842933413172e-006	4.836214e+000	5.000000e+000
2.145125432420754e-006	4.759558e+000	5.000000e+000
2.733181889058429e-006	4.685317e+000	5.000000e+000
3.732726999454622e-006	4.559145e+000	5.000000e+000
4.732726999454622e-006	4.432944e+000	5.000000e+000
6.732726999454621e-006	4.180661e+000	5.000000e+000
8.732726999454622e-006	3.928570e+000	5.000000e+000
1.073272699945462e-005	3.676699e+000	5.000000e+000
1.373272699945463e-005	3.299350e+000	5.000000e+000
1.673272699945463e-005	2.922590e+000	5.000000e+000
1.744701271374034e-005	2.832975e+000	5.000000e+000
1.816129842802606e-005	2.743397e+000	5.000000e+000
1.887558414231177e-005	2.653856e+000	5.000000e+000
1.958986985659749e-005	2.564351e+000	5.000000e+000
2.030415557088320e-005	2.474883e+000	5.000000e+000
2.101844128516892e-005	2.385451e+000	5.000000e+000
2.173272699945463e-005	2.296057e+000	5.000000e+000
2.273272699945463e-005	2.171000e+000	5.000000e+000
2.473272699945463e-005	1.922067e+000	5.000000e+000
2.673272699945463e-005	1.677823e+000	5.000000e+000
2.773272699945463e-005	1.558895e+000	5.000000e+000
2.873272699945463e-005	1.442890e+000	5.000000e+000
2.973272699945463e-005	1.330388e+000	5.000000e+000
3.073272699945463e-005	1.221938e+000	5.000000e+000
3.173272699945463e-005	1.118039e+000	5.000000e+000
3.273272699945463e-005	1.019125e+000	5.000000e+000
3.373272699945462e-005	9.255509e-001	5.000000e+000
