time	V(out)	V(vin)
0.000000000000000e+000	5.000000e+000	0.000000e+000
9.999999960041972e-012	5.000148e+000	5.000000e-002
1.999999992008394e-011	5.000296e+000	1.000000e-001
1.000000000000000e-009	5.014777e+000	5.000000e+000
1.000791982839644e-009	5.014777e+000	5.000000e+000
1.002375948518932e-009	5.014777e+000	5.000000e+000
1.810198444955815e-009	5.014777e+000	5.000000e+000
2.621188872751274e-009	5.014777e+000	5.000000e+000
4.243169728342191e-009	5.014775e+000	5.000000e+000
7.487131439524026e-009	5.014750e+000	5.000000e+000
1.397505486188770e-008	5.014560e+000	5.000000e+000
2.695090170661504e-008	5.013776e+000	5.000000e+000
3.652147194252392e-008	5.012908e+000	5.000000e+000
4.663780289152942e-008	5.011773e+000	5.000000e+000
5.959765210143272e-008	5.010208e+000	5.000000e+000
7.556216134409579e-008	5.008223e+000	5.000000e+000
9.893916449540458e-008	5.005290e+000	5.000000e+000
1.348416906837955e-007	5.000776e+000	5.000000e+000
2.066467430605773e-007	4.991747e+000	5.000000e+000
3.502568478141409e-007	4.973688e+000	5.000000e+000
5.048723567039692e-007	4.954238e+000	5.000000e+000
8.141033744836260e-007	4.915295e+000	5.000000e+000
1.432565410042940e-006	4.837299e+000	5.000000e+000
2.015322659882526e-006	4.763743e+000	5.000000e+000
2.676237207741604e-006	4.680304e+000	5.000000e+000
3.572801023471480e-006	4.567131e+000	5.000000e+000
4.572801023471480e-006	4.440928e+000	5.000000e+000
6.572801023471480e-006	4.188639e+000	5.000000e+000
8.572801023471479e-006	3.936542e+000	5.000000e+000
1.057280102347148e-005	3.684664e+000	5.000000e+000
1.357280102347148e-005	3.307302e+000	5.000000e+000
1.657280102347148e-005	2.930530e+000	5.000000e+000
1.757280102347149e-005	2.805038e+000	5.000000e+000
1.857280102347149e-005	2.679643e+000	5.000000e+000
1.957280102347149e-005	2.554343e+000	5.000000e+000
2.057280102347149e-005	2.429138e+000	5.000000e+000
2.157280102347149e-005	2.304029e+000	5.000000e+000
2.257280102347149e-005	2.179016e+000	5.000000e+000
2.357280102347149e-005	2.054098e+000	5.000000e+000
2.557280102347149e-005	1.806816e+000	5.000000e+000
2.657280102347149e-005	1.685434e+000	5.000000e+000
2.757280102347149e-005	1.566342e+000	5.000000e+000
2.857280102347149e-005	1.450134e+000	5.000000e+000
2.957280102347149e-005	1.337394e+000	5.000000e+000
3.057280102347149e-005	1.228671e+000	5.000000e+000
3.157280102347149e-005	1.124471e+000	5.000000e+000
3.257280102347148e-005	1.025230e+000	5.000000e+000
3.357280102347148e-005	9.313092e-001	5.000000e+000
3.457280102347148e-005	8.429808e-001	5.000000e+000
