time	V(out)	V(vin)
0.000000000000000e+000	5.000000e+000	0.000000e+000
9.999999960041972e-012	5.000092e+000	5.000000e-002
1.999999992008394e-011	5.000183e+000	1.000000e-001
1.599999999315006e-010	5.001465e+000	8.000000e-001
2.999999999429172e-010	5.002739e+000	1.500000e+000
4.399999999543338e-010	5.004006e+000	2.200000e+000
5.799999999657505e-010	5.005264e+000	2.900000e+000
7.199999999771671e-010	5.006514e+000	3.600000e+000
8.599999999885837e-010	5.007756e+000	4.300000e+000
1.000000000000000e-009	5.008991e+000	5.000000e+000
1.001028114130312e-009	5.008991e+000	5.000000e+000
1.003084342390937e-009	5.008990e+000	5.000000e+000
2.205684127961726e-009	5.008602e+000	5.000000e+000
3.408283913532515e-009	5.008206e+000	5.000000e+000
4.610883699103305e-009	5.007803e+000	5.000000e+000
5.813483484674094e-009	5.007392e+000	5.000000e+000
7.016083270244884e-009	5.006974e+000	5.000000e+000
8.218683055815673e-009	5.006548e+000	5.000000e+000
9.421282841386460e-009	5.006114e+000	5.000000e+000
1.784359379690323e-008	5.002966e+000	5.000000e+000
2.874267603180222e-008	4.998640e+000	5.000000e+000
4.061691716687269e-008	4.993675e+000	5.000000e+000
5.168373155600571e-008	4.988872e+000	5.000000e+000
6.284173996786727e-008	4.983905e+000	5.000000e+000
7.214242994648525e-008	4.979696e+000	5.000000e+000
8.203112907648483e-008	4.975169e+000	5.000000e+000
9.147171592010977e-008	4.970808e+000	5.000000e+000
1.046275334260273e-007	4.964685e+000	5.000000e+000
1.209961850713622e-007	4.957021e+000	5.000000e+000
1.387330519920445e-007	4.948678e+000	5.000000e+000
1.522177167316217e-007	4.942316e+000	5.000000e+000
1.656785218518162e-007	4.935951e+000	5.000000e+000
1.816722380788555e-007	4.928375e+000	5.000000e+000
2.084726814427416e-007	4.915662e+000	5.000000e+000
2.417964100057587e-007	4.899838e+000	5.000000e+000
2.902181097001374e-007	4.876825e+000	5.000000e+000
3.548612290996387e-007	4.846083e+000	5.000000e+000
4.746897150440346e-007	4.789080e+000	5.000000e+000
6.104970940423783e-007	4.724491e+000	5.000000e+000
1.066650379243027e-006	4.507944e+000	5.000000e+000
1.674854759510558e-006	4.220168e+000	5.000000e+000
2.674854759510558e-006	3.748730e+000	5.000000e+000
3.674854759510559e-006	3.279933e+000	5.000000e+000
4.610115368879670e-006	2.847912e+000	5.000000e+000
5.457817228377474e-006	2.470267e+000	5.000000e+000
6.354708012804736e-006	2.096548e+000	5.000000e+000
7.354708012804735e-006	1.719091e+000	5.000000e+000
8.354708012804736e-006	1.388166e+000	5.000000e+000
9.354708012804737e-006	1.106689e+000	5.000000e+000
1.035470801280474e-005	8.728395e-001	5.000000e+000
1.135470801280474e-005	6.823249e-001	5.000000e+000
1.235470801280474e-005	5.295811e-001	5.000000e+000
1.335470801280474e-005	4.086860e-001	5.000000e+000
1.435470801280474e-005	3.139710e-001	5.000000e+000
1.535470801280474e-005	2.403597e-001	5.000000e+000
1.635470801280474e-005	1.835055e-001	5.000000e+000
1.735470801280474e-005	1.398084e-001	5.000000e+000
1.835470801280474e-005	1.063575e-001	5.000000e+000
1.935470801280474e-005	8.082592e-002	5.000000e+000
2.035470801280474e-005	6.137415e-002	5.000000e+000
2.135470801280474e-005	4.657388e-002	5.000000e+000
2.235470801280474e-005	3.532538e-002	5.000000e+000
2.335470801280474e-005	2.678353e-002	5.000000e+000
2.435470801280474e-005	2.030130e-002	5.000000e+000
2.535470801280474e-005	1.538454e-002	5.000000e+000
2.635470801280475e-005	1.165662e-002	5.000000e+000
2.735470801280475e-005	8.830916e-003	5.000000e+000
2.835470801280475e-005	6.689553e-003	5.000000e+000
2.935470801280475e-005	5.067067e-003	5.000000e+000
3.035470801280475e-005	3.837888e-003	5.000000e+000
3.135470801280475e-005	2.906763e-003	5.000000e+000
3.235470801280475e-005	2.201473e-003	5.000000e+000
3.335470801280474e-005	1.667272e-003	5.000000e+000
3.435470801280474e-005	1.262676e-003	5.000000e+000
3.535470801280474e-005	9.562495e-004	5.000000e+000
3.635470801280473e-005	7.241794e-004	5.000000e+000
3.735470801280473e-005	5.484257e-004	5.000000e+000
3.835470801280473e-005	4.153240e-004	5.000000e+000
3.935470801280473e-005	3.145245e-004	5.000000e+000
4.035470801280472e-005	2.381885e-004	5.000000e+000
4.135470801280472e-005	1.803792e-004	5.000000e+000
4.235470801280472e-005	1.366003e-004	5.000000e+000
4.335470801280471e-005	1.034468e-004	5.000000e+000
4.435470801280471e-005	7.833989e-005	5.000000e+000
4.535470801280471e-005	5.932663e-005	5.000000e+000
4.635470801280471e-005	4.492808e-005	5.000000e+000
4.735470801280470e-005	3.402421e-005	5.000000e+000
4.835470801280470e-005	2.576683e-005	5.000000e+000
4.935470801280470e-005	1.951362e-005	5.000000e+000
5.035470801280470e-005	1.477813e-005	5.000000e+000
