time	V(out)	V(vin)
0.000000000000000e+000	5.000000e+000	0.000000e+000
9.999999960041972e-012	5.000245e+000	5.000000e-002
1.999999992008394e-011	5.000490e+000	1.000000e-001
1.085714281375986e-010	5.002658e+000	5.428571e-001
1.971428563551132e-010	5.004816e+000	9.857143e-001
2.857142845726278e-010	5.006962e+000	1.428571e+000
3.742857127901425e-010	5.009098e+000	1.871429e+000
4.628571410076571e-010	5.011222e+000	2.314286e+000
5.514285692251717e-010	5.013336e+000	2.757143e+000
6.399999974426862e-010	5.015438e+000	3.200000e+000
8.066980235821163e-010	5.019339e+000	4.033490e+000
8.762605458071572e-010	5.020918e+000	4.381303e+000
9.295974128281021e-010	5.022091e+000	4.647987e+000
9.558838039752410e-010	5.022651e+000	4.779419e+000
9.643403902447595e-010	5.022825e+000	4.821702e+000
9.812535627837966e-010	5.023163e+000	4.906268e+000
1.000000000000000e-009	5.023527e+000	5.000000e+000
1.000359383629066e-009	5.023527e+000	5.000000e+000
1.001078150887199e-009	5.023526e+000	5.000000e+000
1.002515685403464e-009	5.023525e+000	5.000000e+000
1.005390754435994e-009	5.023522e+000	5.000000e+000
1.011140892501055e-009	5.023517e+000	5.000000e+000
1.022641168631176e-009	5.023505e+000	5.000000e+000
1.045641720891418e-009	5.023483e+000	5.000000e+000
1.091642825411903e-009	5.023440e+000	5.000000e+000
1.162836176368348e-009	5.023373e+000	5.000000e+000
1.264522068995686e-009	5.023277e+000	5.000000e+000
1.418936897928901e-009	5.023132e+000	5.000000e+000
1.660608324605566e-009	5.022905e+000	5.000000e+000
2.033952026826944e-009	5.022553e+000	5.000000e+000
2.602116313995037e-009	5.022018e+000	5.000000e+000
3.467789155751639e-009	5.021202e+000	5.000000e+000
4.788200353804678e-009	5.019954e+000	5.000000e+000
6.799982055833590e-009	5.018050e+000	5.000000e+000
9.851009977299170e-009	5.015158e+000	5.000000e+000
1.446464301072346e-008	5.010777e+000	5.000000e+000
2.140739940740396e-008	5.004171e+000	5.000000e+000
3.181269367258523e-008	4.994254e+000	5.000000e+000
4.729213114372640e-008	4.979476e+000	5.000000e+000
7.007774676266945e-008	4.957690e+000	5.000000e+000
1.030402905298311e-007	4.926131e+000	5.000000e+000
1.496357718362308e-007	4.881481e+000	5.000000e+000
2.137500482765834e-007	4.820021e+000	5.000000e+000
2.994921927224994e-007	4.737851e+000	5.000000e+000
4.194294796092880e-007	4.623019e+000	5.000000e+000
5.822255844651659e-007	4.467426e+000	5.000000e+000
8.145712018345933e-007	4.245973e+000	5.000000e+000
1.142268185032170e-006	3.934911e+000	5.000000e+000
1.620433183549410e-006	3.484848e+000	5.000000e+000
2.336031360265979e-006	2.830417e+000	5.000000e+000
3.173736333091200e-006	2.123023e+000	5.000000e+000
4.010952345742952e-006	1.526299e+000	5.000000e+000
5.010952345742951e-006	9.818841e-001	5.000000e+000
6.010952345742951e-006	6.020535e-001	5.000000e+000
7.010952345742951e-006	3.532479e-001	5.000000e+000
7.757580477761364e-006	2.328241e-001	5.000000e+000
8.450100030260246e-006	1.599664e-001	5.000000e+000
9.222793488328223e-006	1.049559e-001	5.000000e+000
9.944987125413628e-006	7.022648e-002	5.000000e+000
1.067945934617785e-005	4.665354e-002	5.000000e+000
1.137270320956201e-005	3.166611e-002	5.000000e+000
1.208229100128968e-005	2.132425e-002	5.000000e+000
1.277244005317058e-005	1.450100e-002	5.000000e+000
1.347667583598581e-005	9.787706e-003	5.000000e+000
1.416670842613856e-005	6.653571e-003	5.000000e+000
1.486636863377025e-005	4.500595e-003	5.000000e+000
1.555630876796538e-005	3.059409e-003	5.000000e+000
1.625350057359853e-005	2.071966e-003	5.000000e+000
1.694401012038161e-005	1.408008e-003	5.000000e+000
1.763975293284689e-005	9.542390e-004	5.000000e+000
1.833079004099642e-005	6.482654e-004	5.000000e+000
1.902559396988385e-005	4.395501e-004	5.000000e+000
1.971708743053138e-005	2.985377e-004	5.000000e+000
2.041128540125437e-005	2.024825e-004	5.000000e+000
2.110314245002324e-005	1.374980e-004	5.000000e+000
2.179693400318600e-005	9.327717e-005	5.000000e+000
2.248906702346784e-005	6.333216e-005	5.000000e+000
2.318258268918377e-005	4.297019e-005	5.000000e+000
2.387492282592832e-005	2.924266e-005	5.000000e+000
2.462315889301152e-005	1.936704e-005	5.000000e+000
2.544410461090378e-005	1.238594e-005	5.000000e+000
2.644410461090378e-005	7.151306e-006	5.000000e+000
2.744410461090378e-005	4.056370e-006	5.000000e+000
2.844410461090378e-005	2.301206e-006	5.000000e+000
2.944410461090378e-005	1.305839e-006	5.000000e+000
3.144410461090378e-005	4.212368e-007	5.000000e+000
3.472981889661806e-005	2.406147e-007	5.000000e+000
3.801553318233234e-005	1.002298e-007	5.000000e+000
4.130124746804661e-005	8.210514e-011	5.000000e+000
4.458696175376089e-005	-5.982841e-008	5.000000e+000
4.787267603947517e-005	-7.950174e-008	5.000000e+000
5.115839032518945e-005	-5.893788e-008	5.000000e+000
5.444410461090372e-005	1.863156e-009	5.000000e+000
