time	V(out)	V(vin)
0.000000000000000e+000	5.000000e+000	0.000000e+000
9.999999960041972e-012	5.000153e+000	5.000000e-002
1.999999992008394e-011	5.000307e+000	1.000000e-001
1.177782460616861e-010	5.001807e+000	5.888912e-001
2.155564922032882e-010	5.003302e+000	1.077782e+000
3.133347383448903e-010	5.004793e+000	1.566674e+000
4.111129844864924e-010	5.006278e+000	2.055565e+000
5.088912306280946e-010	5.007759e+000	2.544456e+000
6.066694767696966e-010	5.009236e+000	3.033347e+000
7.044477229112985e-010	5.010707e+000	3.522239e+000
8.333431738485231e-010	5.012615e+000	4.166716e+000
8.932248513168279e-010	5.013484e+000	4.466124e+000
9.296658230375556e-010	5.013999e+000	4.648329e+000
9.541999574256232e-010	5.014337e+000	4.771000e+000
9.654254659268199e-010	5.014486e+000	4.827127e+000
9.775489829976066e-010	5.014641e+000	4.887745e+000
1.000000000000000e-009	5.014917e+000	5.000000e+000
1.000392815253564e-009	5.014916e+000	5.000000e+000
1.001178445760691e-009	5.014916e+000	5.000000e+000
1.920366139099650e-009	5.014474e+000	5.000000e+000
2.839553832438609e-009	5.014032e+000	5.000000e+000
3.758741525777568e-009	5.013589e+000	5.000000e+000
4.677929219116527e-009	5.013146e+000	5.000000e+000
5.597116912455487e-009	5.012703e+000	5.000000e+000
6.516304605794445e-009	5.012260e+000	5.000000e+000
7.435492299133402e-009	5.011817e+000	5.000000e+000
1.387137741352037e-008	5.008714e+000	5.000000e+000
2.674314764229431e-008	5.002510e+000	5.000000e+000
4.798199794046348e-008	4.992279e+000	5.000000e+000
6.775362147324976e-008	4.982762e+000	5.000000e+000
9.127866928934422e-008	4.971450e+000	5.000000e+000
1.188078204499320e-007	4.958223e+000	5.000000e+000
1.548344634544446e-007	4.940923e+000	5.000000e+000
1.992987333877856e-007	4.919580e+000	5.000000e+000
2.608874784469400e-007	4.890015e+000	5.000000e+000
3.470962827401655e-007	4.848628e+000	5.000000e+000
4.526810270170820e-007	4.797949e+000	5.000000e+000
5.661879482624973e-007	4.743504e+000	5.000000e+000
7.927202307732619e-007	4.634995e+000	5.000000e+000
1.245784795794791e-006	4.418562e+000	5.000000e+000
2.151913925837850e-006	3.987518e+000	5.000000e+000
3.151913925837850e-006	3.514652e+000	5.000000e+000
4.151913925837850e-006	3.047549e+000	5.000000e+000
5.151913925837850e-006	2.594514e+000	5.000000e+000
6.151913925837849e-006	2.168534e+000	5.000000e+000
7.151913925837849e-006	1.781781e+000	5.000000e+000
8.151913925837850e-006	1.441897e+000	5.000000e+000
9.151913925837850e-006	1.151601e+000	5.000000e+000
1.015191392583785e-005	9.096058e-001	5.000000e+000
1.115191392583785e-005	7.119176e-001	5.000000e+000
1.215191392583785e-005	5.530799e-001	5.000000e+000
1.315191392583785e-005	4.271484e-001	5.000000e+000
1.415191392583785e-005	3.283550e-001	5.000000e+000
1.515191392583785e-005	2.514886e-001	5.000000e+000
1.615191392583785e-005	1.920682e-001	5.000000e+000
1.715191392583785e-005	1.463699e-001	5.000000e+000
1.815191392583785e-005	1.113695e-001	5.000000e+000
1.915191392583785e-005	8.464545e-002	5.000000e+000
2.015191392583786e-005	6.428152e-002	5.000000e+000
2.115191392583786e-005	4.878478e-002	5.000000e+000
2.215191392583786e-005	3.700503e-002	5.000000e+000
2.315191392583786e-005	2.805861e-002	5.000000e+000
2.415191392583786e-005	2.126870e-002	5.000000e+000
2.515191392583786e-005	1.611817e-002	5.000000e+000
2.615191392583786e-005	1.221279e-002	5.000000e+000
2.715191392583786e-005	9.252437e-003	5.000000e+000
2.815191392583786e-005	7.008962e-003	5.000000e+000
2.915191392583786e-005	5.309066e-003	5.000000e+000
3.015191392583786e-005	4.021215e-003	5.000000e+000
3.115191392583786e-005	3.045632e-003	5.000000e+000
3.215191392583786e-005	2.306658e-003	5.000000e+000
3.315191392583786e-005	1.746940e-003	5.000000e+000
3.415191392583785e-005	1.323014e-003	5.000000e+000
3.515191392583785e-005	1.001947e-003	5.000000e+000
3.615191392583785e-005	7.587881e-004	5.000000e+000
3.715191392583785e-005	5.746359e-004	5.000000e+000
3.815191392583784e-005	4.351735e-004	5.000000e+000
3.915191392583784e-005	3.295568e-004	5.000000e+000
4.015191392583784e-005	2.495727e-004	5.000000e+000
4.115191392583783e-005	1.890006e-004	5.000000e+000
4.215191392583783e-005	1.431294e-004	5.000000e+000
4.315191392583783e-005	1.083914e-004	5.000000e+000
4.415191392583783e-005	8.208452e-005	5.000000e+000
4.515191392583782e-005	6.216255e-005	5.000000e+000
