time	V(a)	V(b)	V(c)	V(d)	V(out)
0.000000000000000e+000	4.973295e+000	6.440639e-002	5.004787e+000	1.032393e-002	2.674075e+000
1.000000000002193e-010	4.973297e+000	6.438304e-002	5.004799e+000	1.052136e-002	2.673727e+000
3.000000000006578e-010	4.973302e+000	6.433637e-002	5.004823e+000	1.091670e-002	2.673029e+000
7.471428571420757e-009	4.973459e+000	6.269118e-002	5.005683e+000	2.544655e-002	2.648068e+000
1.464285714284085e-008	4.973615e+000	6.109256e-002	5.006572e+000	4.090618e-002	2.623198e+000
2.181428571426095e-008	4.973769e+000	5.954050e-002	5.007491e+000	5.729557e-002	2.598418e+000
2.898571428568105e-008	4.973921e+000	5.803501e-002	5.008439e+000	7.461474e-002	2.573729e+000
3.615714285710115e-008	4.974072e+000	5.657608e-002	5.009417e+000	9.286367e-002	2.549131e+000
4.332857142852124e-008	4.974220e+000	5.516371e-002	5.010424e+000	1.120424e-001	2.524624e+000
5.049999999994133e-008	4.974367e+000	5.379792e-002	5.011460e+000	1.321509e-001	2.500207e+000
6.192857142849910e-008	4.974600e+000	5.171320e-002	5.013164e+000	1.660553e-001	2.461535e+000
7.335714285705687e-008	4.974824e+000	4.972612e-002	5.014986e+000	2.031339e-001	2.423020e+000
8.478571428561464e-008	4.975041e+000	4.783665e-002	5.016926e+000	2.433868e-001	2.384662e+000
9.621428571417241e-008	4.975249e+000	4.604482e-002	5.018983e+000	2.868140e-001	2.346462e+000
1.076428571427302e-007	4.975450e+000	4.435060e-002	5.021158e+000	3.334154e-001	2.308420e+000
1.190714285712880e-007	4.975642e+000	4.275402e-002	5.023451e+000	3.831910e-001	2.270535e+000
1.304999999998457e-007	4.975827e+000	4.125505e-002	5.025862e+000	4.361409e-001	2.232807e+000
1.380714285712652e-007	4.975940e+000	4.030925e-002	5.027566e+000	4.736032e-001	2.207742e+000
1.456428571426847e-007	4.976048e+000	3.939858e-002	5.029339e+000	5.127807e-001	2.182723e+000
1.532142857141043e-007	4.976150e+000	3.852307e-002	5.031180e+000	5.536734e-001	2.157751e+000
1.607857142855238e-007	4.976246e+000	3.768270e-002	5.033090e+000	5.962812e-001	2.132825e+000
1.683571428569433e-007	4.976337e+000	3.687747e-002	5.035069e+000	6.406041e-001	2.107944e+000
1.759285714283628e-007	4.976423e+000	3.610739e-002	5.037116e+000	6.866422e-001	2.083110e+000
1.834999999997823e-007	4.976503e+000	3.537246e-002	5.039232e+000	7.343954e-001	2.058322e+000
1.864999999997788e-007	4.976532e+000	3.508735e-002	5.040078e+000	7.536866e-001	2.048530e+000
2.039285714283294e-007	4.976720e+000	3.352398e-002	5.044987e+000	8.697281e-001	1.992728e+000
2.213571428568799e-007	4.976844e+000	3.211724e-002	5.050489e+000	9.960654e-001	1.936738e+000
2.387857142854306e-007	4.976905e+000	3.086714e-002	5.056584e+000	1.132698e+000	1.880559e+000
2.562142857139811e-007	4.976902e+000	2.977368e-002	5.063271e+000	1.279627e+000	1.824191e+000
2.736428571425318e-007	4.976835e+000	2.883685e-002	5.070551e+000	1.436852e+000	1.767634e+000
2.910714285710824e-007	4.976704e+000	2.805666e-002	5.078423e+000	1.604373e+000	1.710889e+000
3.084999999996329e-007	4.976510e+000	2.743311e-002	5.086888e+000	1.782189e+000	1.653954e+000
3.242142857138999e-007	4.976587e+000	2.700992e-002	5.094995e+000	1.951149e+000	1.605082e+000
3.399285714281668e-007	4.976736e+000	2.662456e-002	5.103197e+000	2.119261e+000	1.558282e+000
3.556428571424337e-007	4.976960e+000	2.627704e-002	5.111493e+000	2.286524e+000	1.513553e+000
3.713571428567006e-007	4.977256e+000	2.596735e-002	5.119884e+000	2.452938e+000	1.470896e+000
3.870714285709676e-007	4.977627e+000	2.569550e-002	5.128369e+000	2.618504e+000	1.430310e+000
4.027857142852345e-007	4.978070e+000	2.546148e-002	5.136949e+000	2.783221e+000	1.391796e+000
4.184999999995014e-007	4.978587e+000	2.526530e-002	5.145624e+000	2.947090e+000	1.355353e+000
4.312142857137719e-007	4.978892e+000	2.513517e-002	5.152937e+000	3.073618e+000	1.325623e+000
4.439285714280425e-007	4.979161e+000	2.499783e-002	5.160205e+000	3.195382e+000	1.296054e+000
4.566428571423130e-007	4.979395e+000	2.485327e-002	5.167428e+000	3.312383e+000	1.266645e+000
4.693571428565835e-007	4.979594e+000	2.470149e-002	5.174607e+000	3.424620e+000	1.237396e+000
4.820714285708540e-007	4.979756e+000	2.454250e-002	5.181741e+000	3.532094e+000	1.208308e+000
4.947857142851245e-007	4.979883e+000	2.437629e-002	5.188830e+000	3.634804e+000	1.179381e+000
5.074999999993950e-007	4.979975e+000	2.420286e-002	5.195875e+000	3.732751e+000	1.150614e+000
5.143571428565296e-007	4.980025e+000	2.414714e-002	5.199864e+000	3.784239e+000	1.135183e+000
5.212142857136644e-007	4.980061e+000	2.395668e-002	5.202884e+000	3.834758e+000	1.119827e+000
5.280714285707990e-007	4.980083e+000	2.363149e-002	5.204935e+000	3.884306e+000	1.104546e+000
5.349285714279337e-007	4.980090e+000	2.317158e-002	5.206018e+000	3.932885e+000	1.089339e+000
5.417857142850683e-007	4.980084e+000	2.257693e-002	5.206132e+000	3.980494e+000	1.074206e+000
5.486428571422030e-007	4.980063e+000	2.184755e-002	5.205277e+000	4.027133e+000	1.059148e+000
5.554999999993376e-007	4.980029e+000	2.098344e-002	5.203454e+000	4.072803e+000	1.044165e+000
5.640714285707559e-007	4.979955e+000	1.967063e-002	5.199650e+000	4.127514e+000	1.025400e+000
5.726428571421743e-007	4.979868e+000	1.821228e-002	5.194604e+000	4.179655e+000	1.006627e+000
5.812142857135926e-007	4.979766e+000	1.660839e-002	5.188317e+000	4.229223e+000	9.878452e-001
5.897857142850109e-007	4.979649e+000	1.485896e-002	5.180789e+000	4.276219e+000	9.690548e-001
