time	V(1_a1)	V(2_a0)	V(3_b1)	V(4_b0)	V(5_c0)	V(6_q1)	V(7_q0)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	3.568795e-009	1.427517e-008	1.427517e-008
4.999979999999960e-004	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	3.568790e-009	1.427517e-008	1.427517e-008
4.999990000000000e-004	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	3.785414e-008	1.805482e-006	1.908803e-004
4.999990035790894e-004	0.000000e+000	0.000000e+000	0.000000e+000	1.789545e-002	7.238499e-008	3.609009e-006	3.818643e-004
4.999990107372681e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.368634e-002	2.099418e-007	1.079408e-005	1.133643e-003
4.999990250536254e-004	0.000000e+000	0.000000e+000	0.000000e+000	1.252681e-001	4.844248e-007	2.513999e-005	2.532727e-003
4.999990536863402e-004	0.000000e+000	0.000000e+000	0.000000e+000	2.684317e-001	1.031447e-006	5.376149e-005	4.769500e-003
4.999990740516143e-004	0.000000e+000	0.000000e+000	0.000000e+000	3.702581e-001	1.418827e-006	7.405753e-005	5.710718e-003
4.999990951065885e-004	0.000000e+000	0.000000e+000	0.000000e+000	4.755329e-001	1.817474e-006	9.497341e-005	6.239519e-003
4.999991483864635e-004	0.000000e+000	0.000000e+000	0.000000e+000	7.419323e-001	2.816729e-006	1.475512e-004	7.427063e-003
4.999992142327823e-004	0.000000e+000	0.000000e+000	0.000000e+000	1.071164e+000	4.036603e-006	2.119731e-004	8.893963e-003
4.999992685279728e-004	0.000000e+000	0.000000e+000	0.000000e+000	1.342640e+000	5.036323e-006	2.649530e-004	1.010237e-002
4.999993394296888e-004	0.000000e+000	0.000000e+000	0.000000e+000	1.697148e+000	6.343130e-006	3.344183e-004	1.167854e-002
4.999993661534876e-004	0.000000e+000	0.000000e+000	0.000000e+000	1.830767e+000	6.840067e-006	3.609309e-004	1.227121e-002
4.999994730486830e-004	0.000000e+000	0.000000e+000	0.000000e+000	2.365243e+000	8.795716e-006	4.657778e-004	1.458326e-002
4.999996339105674e-004	0.000000e+000	0.000000e+000	0.000000e+000	3.169553e+000	1.163850e-005	6.194751e-004	1.805723e-002
4.999997650306157e-004	0.000000e+000	0.000000e+000	0.000000e+000	3.825153e+000	1.384595e-005	7.403063e-004	2.084786e-002
5.000000000000000e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	1.768671e-005	9.522642e-004	2.580733e-002
5.000000008178069e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	1.768554e-005	9.522579e-004	2.580906e-002
5.000000024534206e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	1.768320e-005	9.522454e-004	2.581252e-002
5.000004805199562e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	1.700995e-005	9.482699e-004	2.676772e-002
5.000009585864917e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	1.635433e-005	9.438662e-004	2.764156e-002
5.000014366530272e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	1.571635e-005	9.390344e-004	2.843403e-002
5.000019147195628e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	1.509600e-005	9.337745e-004	2.914514e-002
5.000023927860984e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	1.449329e-005	9.280865e-004	2.977489e-002
5.000028708526339e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	1.390822e-005	9.219703e-004	3.032327e-002
5.000033489191694e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	1.334079e-005	9.154261e-004	3.079029e-002
5.000066986561457e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	9.664296e-006	8.645456e-004	3.291113e-002
5.000104898632555e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	6.122943e-006	7.977500e-004	3.307609e-002
5.000143196772589e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	3.160701e-006	7.239143e-004	3.134764e-002
5.000169917004203e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	1.457718e-006	6.701362e-004	2.909093e-002
5.000199192005537e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-7.315177e-008	6.103754e-004	2.562143e-002
5.000234804775680e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-1.557406e-006	5.385940e-004	2.049595e-002
5.000286319232095e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-3.137182e-006	4.381885e-004	1.211424e-002
5.000340113389520e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-4.240022e-006	3.388432e-004	2.537281e-003
5.000384183182707e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-4.760046e-006	2.637528e-004	-5.935536e-003
5.000430940983076e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-5.004641e-006	1.914758e-004	-1.539286e-002
5.000476473884778e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-5.013083e-006	1.286437e-004	-2.478937e-002
5.000538853280958e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-4.738337e-006	5.576685e-005	-3.764347e-002
5.000663612073317e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-3.763960e-006	-6.008827e-005	-6.299553e-002
5.000787309134903e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-2.593142e-006	-1.440334e-004	-8.757823e-002
5.000904670015416e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-1.490571e-006	-1.955701e-004	-1.094981e-001
